institution,period,euro,doi,publicationTitle,authorNames,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,issn_l,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj
Leipzig U,2020,2007.91,10.3389/fpsyg.2020.00548,Young Children and Adults Show Differential Arousal to Moral and Conventional Transgressions,"Yucel, Meltem;Hepach, Robert;Vaish, Amrisha",FALSE,Frontiers Media SA,Frontiers in Psychology,1664-1078,,1664-1078,1664-1078,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32425839,PMC7212443,ut:000531187600001,https://www.frontiersin.org/article/10.3389/fpsyg.2020.00548/full,TRUE
Leipzig U,2020,1756.75,10.3390/biom10071033,"Anti-Inflammatory and Barrier-Stabilising Effects of Myrrh, Coffee Charcoal and Chamomile Flower Extract in a Co-Culture Cell Model of the Intestinal Mucosa","Weber, Laura;Kuck, Katrin;Jürgenliemk, Guido;Heilmann, Jörg;Lipowicz, Bartosz;Vissiennon, Cica",FALSE,MDPI AG,Biomolecules,2218-273X,,2218-273X,2218-273X,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32664498,PMC7407830,ut:000557364300001,https://www.mdpi.com/2218-273X/10/7/1033/pdf,TRUE
Leipzig U,2020,1934.56,10.3389/fimmu.2020.02169,Flow Cytometric Analyses of Lymphocyte Markers in Immune Oncology: A Comprehensive Guidance for Validation Practice According to Laws and Standards,"Lambert, Claude;Yanikkaya Demirel, Gulderen;Keller, Thomas;Preijers, Frank;Psarra, Katherina;Schiemann, Matthias;Özçürümez, Mustafa;Sack, Ulrich",FALSE,Frontiers Media SA,Frontiers in Immunology,1664-3224,,1664-3224,1664-3224,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33042129,PMC7528430,ut:000576365400001,https://www.frontiersin.org/article/10.3389/fimmu.2020.02169/full,TRUE
Leipzig U,2020,1934.56,10.3389/fcell.2020.583226,Mechanical Cues Affect Migration and Invasion of Cells From Three Different Directions,"Mierke, Claudia Tanja",FALSE,Frontiers Media SA,Frontiers in Cell and Developmental Biology,2296-634X,,2296-634X,2296-634X,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33043017,PMC7527720,ut:000576814200001,https://www.frontiersin.org/article/10.3389/fcell.2020.583226/full,TRUE
Leipzig U,2020,1811.55,10.3389/fonc.2020.01746,Case Report: Allogeneic Stem Cell Transplantation Following Induction With CPX-351 in Patients With Acute Myeloid Leukemia Is Feasible,"Vucinic, Vladan;Jentzsch, Madlen;Schwind, Sebastian;Bach, Enrica;Leiblein, Sabine;Remane, Yvonne;Rieprecht, Susanne;Otto, Sandra;Kubasch, Anne-Sophie;Behre, Gerhard;Cross, Michael;Platzbecker, Uwe;Franke, Georg-Nikolaus",FALSE,Frontiers Media SA,Frontiers in Oncology,2234-943X,,2234-943X,2234-943X,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33042819,PMC7526474,ut:000576250500001,https://www.frontiersin.org/article/10.3389/fonc.2020.01746/full,TRUE
Leipzig U,2020,2045.96,10.3389/fnmol.2019.00331,Pathological ATPergic Signaling in Major Depression and Bipolar Disorder,"Illes, Peter;Verkhratsky, Alexei;Tang, Yong",FALSE,Frontiers Media SA,Frontiers in Molecular Neuroscience,1662-5099,,1662-5099,1662-5099,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32076399,PMC7006450,ut:000515677600001,https://www.frontiersin.org/article/10.3389/fnmol.2019.00331/full,TRUE
Leipzig U,2020,1941.61,10.3390/ma13173688,Combination of Digital and Conventional Workflows in the CAD/CAM-Fabrication of an Implant-Supported Overdenture,"Schmidt, Michael Benno;Rauch, Angelika;Schwarzer, Marcus;Lethaus, Bernd;Hahnel, Sebastian",FALSE,MDPI AG,Materials,1996-1944,,1996-1944,1996-1944,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32825488,PMC7503874,ut:000570343500001,https://www.mdpi.com/1996-1944/13/17/3688/pdf,TRUE
Leipzig U,2020,1868.3,10.1038/s41598-020-66868-z,Distinct abdominal and gluteal adipose tissue transcriptome signatures are altered by exercise training in African women with obesity,"Nono Nankam, Pamela A.;Blüher, Matthias;Kehr, Stephanie;Klöting, Nora;Krohn, Knut;Adams, Kevin;Stadler, Peter F.;Mendham, Amy E.;Goedecke, Julia H.",FALSE,Springer Nature,Scientific Reports,2045-2322,,2045-2322,2045-2322,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32581226,PMC7314771,ut:000546711400007,http://www.nature.com/articles/s41598-020-66868-z.pdf,TRUE
Leipzig U,2020,1112.46,10.3390/jcm9061976,"Prognostic Impact of Active Mechanical Circulatory Support in Cardiogenic Shock Complicating Acute Myocardial Infarction, Results from the Culprit-Shock Trial","Feistritzer, Hans-Josef;Desch, Steffen;Freund, Anne;Poess, Janine;Zeymer, Uwe;Ouarrak, Taoufik;Schneider, Steffen;de Waha-Thiele, Suzanne;Fuernau, Georg;Eitel, Ingo;Noc, Marko;Stepinska, Janina;Huber, Kurt;Thiele, Holger",FALSE,MDPI AG,Journal of Clinical Medicine,2077-0383,,2077-0383,2077-0383,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32599815,PMC7356113,ut:000549456300001,https://www.mdpi.com/2077-0383/9/6/1976/pdf,TRUE
Leipzig U,2020,1458.14,10.1167/tvst.9.9.23,Norms of Interocular Circumpapillary Retinal Nerve Fiber Layer Thickness Differences at 768 Retinal Locations,"Baniasadi, Neda;Rauscher, Franziska G.;Li, Dian;Wang, Mengyu;Choi, Eun Young;Wang, Hui;Peschel, Thomas;Wirkner, Kerstin;Kirsten, Toralf;Thiery, Joachim;Engel, Christoph;Loeffler, Markus;Elze, Tobias",FALSE,Association for Research in Vision and Ophthalmology (ARVO),Translational Vision Science & Technology,2164-2591,2164-2591,,2164-2591,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32879779,PMC7442876,ut:000582929100023,https://tvst.arvojournals.org/article.aspx?articleid=2770644,TRUE
Leipzig U,2020,2319.69,10.1063/1.5143217,"Low voltage, high gain inverters based on amorphous zinc tin oxide on flexible substrates","Schlupp, P.;Vogt, S.;von Wenckstern, H.;Grundmann, M.",FALSE,AIP Publishing,APL Materials,2166-532X,,2166-532X,2166-532X,na,TRUE,NA,NA,ut:000545580700001,http://aip.scitation.org/doi/pdf/10.1063/1.5143217,TRUE
Leipzig U,2020,1547.67,10.3390/metabo10090369,Composition of Intracellular and Cell Wall-Bound Phlorotannin Fractions in Fucoid Algae Indicates Specific Functions of These Metabolites Dependent on the Chemical Structure,"Birkemeyer, Claudia;Lemesheva, Valeriya;Billig, Susan;Tarakhovskaya, Elena",FALSE,MDPI AG,Metabolites,2218-1989,,2218-1989,2218-1989,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32933101,PMC7570113,ut:000578961100001,https://www.mdpi.com/2218-1989/10/9/369/pdf,TRUE
Leipzig U,2020,2036.51,10.3390/cancers12051122,The Role of lncRNAs TAPIR-1 and -2 as Diagnostic Markers and Potential Therapeutic Targets in Prostate Cancer,"Friedrich, Maik;Wiedemann, Karolin;Reiche, Kristin;Puppel, Sven-Holger;Pfeifer, Gabriele;Zipfel, Ivonne;Binder, Stefanie;Köhl, Ulrike;Müller, Gerd A.;Engeland, Kurt;Aigner, Achim;Füssel, Susanne;Fröhner, Michael;Peitzsch, Claudia;Dubrovska, Anna;Rade, Michael;Christ, Sabina;Schreiber, Stephan;Hackermüller, Jörg;Lehmann, Jörg;Toma, Marieta I.;Muders, Michael H.;Sommer, Ulrich;Baretton, Gustavo B.;Wirth, Manfred;Horn, Friedemann",FALSE,MDPI AG,Cancers,2072-6694,,2072-6694,2072-6694,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32365858,PMC7280983,ut:000539246000063,https://www.mdpi.com/2072-6694/12/5/1122/pdf,TRUE
Leipzig U,2020,1669.52,10.1371/journal.pone.0238387,Perioperative anticoagulation in patients with intracranial meningioma: No increased risk of intracranial hemorrhage?,"Wilhelmy, Florian;Hantsche, Annika;Wende, Tim;Kasper, Johannes;Reuschel, Vera;Frydrychowicz, Clara;Rasche, Stefan;Lindner, Dirk;Meixensberger, Jürgen",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32870937,PMC7462284,ut:000568872300037,https://dx.plos.org/10.1371/journal.pone.0238387,TRUE
Leipzig U,2020,1588.21,10.1371/journal.pone.0237163,AhR-activating pesticides increase the bovine ABCG2 efflux activity in MDCKII-bABCG2 cells,"Kuhnert, Lydia;Giantin, Mery;Dacasto, Mauro;Halwachs, Sandra;Honscha, Walther",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32764792,PMC7413513,ut:000561029000044,https://dx.plos.org/10.1371/journal.pone.0237163,TRUE
Leipzig U,2020,1546.09,10.3390/brainsci10090569,Fatigue in Cancer and Neuroinflammatory and Autoimmune Disease: CNS Arousal Matters,"Ulke, Christine;Surova, Galina;Sander, Christian;Engel, Christoph;Wirkner, Kerstin;Jawinski, Philippe;Hensch, Tilman;Hegerl, Ulrich",FALSE,MDPI AG,Brain Sciences,2076-3425,,2076-3425,2076-3425,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32824904,PMC7564388,ut:000580171700001,https://www.mdpi.com/2076-3425/10/9/569/pdf,TRUE
Leipzig U,2020,1717.17,10.1002/rth2.12340,Direct oral anticoagulant plasma levels and thrombin generation on ST Genesia system,"Pfrepper, Christian;Metze, Michael;Siegemund, Annelie;Klöter, Tristan;Siegemund, Thomas;Petros, Sirak",FALSE,Wiley-Blackwell,Research and Practice in Thrombosis and Haemostasis,2475-0379,2475-0379,2475-0379,2475-0379,http://creativecommons.org/licenses/cc-by-nc-nd/4.0/,TRUE,32548561,PMC7292659,ut:000528469300001,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Frth2.12340,TRUE
Leipzig U,2020,1384.91,10.1136/bmjopen-2019-036034,Effectiveness and feasibility of internet-based and mobile-based interventions for individuals experiencing bereavement: a systematic review protocol,"Luppa, Melanie;Löbner, Margrit;Pabst, Alexander;Schlapke, Christine;Stein, Janine;Riedel-Heller, Steffi G",FALSE,BMJ,BMJ Open,2044-6055,2044-6055,2044-6055,2044-6055,http://creativecommons.org/licenses/cc-by-nc/4.0/,TRUE,32327480,PMC7204864,ut:000538150800108,https://syndication.highwire.org/content/doi/10.1136/bmjopen-2019-036034,TRUE
Leipzig U,2020,2713.2,10.1002/ehf2.12694,Angiotensin receptor neprilysin inhibition versus individualized RAAS blockade: design and rationale of the PARALLAX trial,"Wachter, Rolf;Shah, Sanjiv J.;Cowie, Martin R.;Szecsödy, Peter;Shi, Victor;Ibram, Ghionul;Zhao, Ziqiang;Gong, Jianjian;Klebs, Sven;Pieske, Burkert",FALSE,Wiley-Blackwell,ESC Heart Failure,2055-5822,2055-5822,2055-5822,2055-5822,http://creativecommons.org/licenses/cc-by-nc/4.0/,TRUE,32297449,PMC7261527,ut:000526682600001,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fehf2.12694,TRUE
Leipzig U,2020,1545.81,10.1002/rth2.12332,Inhibition of thrombin generation 12 hours after intake of direct oral anticoagulants,"Metze, Michael;Pfrepper, Christian;Klöter, Tristan;Stöbe, Stephan;Siegemund, Roland;Siegemund, Thomas;Edel, Elvira;Laufs, Ulrich;Petros, Sirak",FALSE,Wiley-Blackwell,Research and Practice in Thrombosis and Haemostasis,2475-0379,2475-0379,2475-0379,2475-0379,http://creativecommons.org/licenses/cc-by-nc-nd/4.0/,TRUE,32548560,PMC7292666,ut:000528464700001,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Frth2.12332,TRUE
Leipzig U,2020,1868.3,10.1038/s41598-020-65077-y,SATB1 as oncogenic driver and potential therapeutic target in head &amp; neck squamous cell carcinoma (HNSCC),"Panchal, Omkar;Wichmann, Gunnar;Grenman, Reidar;Eckhardt, Lisa;Kunz-Schughart, Leoni A.;Franke, Heike;Dietz, Andreas;Aigner, Achim",FALSE,Springer Nature,Scientific Reports,2045-2322,,2045-2322,2045-2322,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32451408,PMC7248088,ut:000560772000024,http://www.nature.com/articles/s41598-020-65077-y.pdf,TRUE
Leipzig U,2020,1885.98,10.3389/fchem.2020.580295,New Perspectives in the Noble Gas Chemistry Opened by Electrophilic Anions,"Rohdenburg, Markus;Azov, Vladimir A.;Warneke, Jonas",FALSE,Frontiers Media SA,Frontiers in Chemistry,2296-2646,,2296-2646,2296-2646,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33282830,PMC7691601,ut:000592428600001,https://www.frontiersin.org/articles/10.3389/fchem.2020.580295/full,TRUE
Leipzig U,2020,2094.4,10.1002/mbo3.1019,"<i>Pantoea</i>
            sp. P37 as a novel nonpathogenic host for the heterologous production of rhamnolipids","Nawrath, Margarete Monika;Ottenheim, Christoph;Wu, Jin Chuan;Zimmermann, Wolfgang",FALSE,Wiley-Blackwell,MicrobiologyOpen,2045-8827,2045-8827,2045-8827,2045-8827,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32113194,PMC7221421,ut:000517050500001,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fmbo3.1019,TRUE
Leipzig U,2020,1555.71,10.1371/journal.pone.0234986,Molecular analyses of glioblastoma stem-like cells and glioblastoma tissue,"Wallenborn, Marco;Xu, Li-Xin;Kirsten, Holger;Rohani, Leili;Rudolf, Daniela;Ahnert, Peter;Schmidt, Christian;Schulz, Ronny M.;Richter, Mandy;Krupp, Wolfgang;Mueller, Wolf;Johnson, Adiv A.;Meixensberger, Jürgen;Holland, Heidrun",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32634135,PMC7340312,ut:000550645600025,https://dx.plos.org/10.1371/journal.pone.0234986,TRUE
Leipzig U,2020,1597.93,10.1097/md.0000000000023057,Pediatric solid organ injury – frequency of abdominal imaging is determined by the treating department,"Zimmermann, Peter;Schmidt, Torben;Nelson, Jana;Gosemann, Jan-Hendrik;Bassler, Stefan;Stahmeyer, Jona T.;Hirsch, Franz Wolfgang;Lacher, Martin;Zeidler, Jan",FALSE,Ovid Technologies (Wolters Kluwer Health),Medicine,0025-7974,0025-7974,1536-5964,0025-7974,na,TRUE,33157961,PMC7647522,NA,https://journals.lww.com/10.1097/MD.0000000000023057,TRUE
Leipzig U,2020,2115.84,10.1002/ehf2.12819,Heart failure patients with atrial fibrillation benefit from remote patient management: insights from the TIM‐HF2 trial,"Stegmann, Tina;Koehler, Kerstin;Wachter, Rolf;Moeller, Volker;Zeynalova, Samira;Koehler, Friedrich;Laufs, Ulrich",FALSE,Wiley-Blackwell,ESC Heart Failure,2055-5822,2055-5822,2055-5822,2055-5822,http://creativecommons.org/licenses/cc-by-nc-nd/4.0/,TRUE,32558287,PMC7524258,ut:000540707200001,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fehf2.12819,TRUE
Leipzig U,2020,1661.24,10.1186/s12889-019-8140-z,Association of psychosocial and perceived environmental factors with park-based physical activity among elderly in two cities in China and Germany,"Wagner, Petra;Duan, Yan Ping;Zhang, Ru;Wulff, Hagen;Brehm, Walter",FALSE,Springer Nature,BMC Public Health,1471-2458,,1471-2458,1471-2458,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31937268,PMC6961356,ut:000514593200005,http://link.springer.com/content/pdf/10.1186/s12889-019-8140-z.pdf,TRUE
Leipzig U,2020,2128.04,10.3390/jcm9123927,Relationship between Age-Dependent Body Constitution and Temporomandibular Joint Sounds in Adolescents,"Rauch, Angelika;Körner, Antje;Kiess, Wieland;Hirsch, Christian;Schierz, Oliver",FALSE,MDPI AG,Journal of Clinical Medicine,2077-0383,,2077-0383,2077-0383,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33287339,PMC7761726,ut:000601961100001,https://www.mdpi.com/2077-0383/9/12/3927/pdf,TRUE
Leipzig U,2020,2007.9,10.3389/fpsyg.2020.00790,Alignment of Continuous Auditory and Visual Distractor Stimuli Is Leading to an Increased Performance,"Mühlberg, Stefanie;Müller, Matthias M.",FALSE,Frontiers Media SA,Frontiers in Psychology,1664-1078,,1664-1078,1664-1078,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32457678,PMC7225351,ut:000536791400001,https://www.frontiersin.org/article/10.3389/fpsyg.2020.00790/full,TRUE
Leipzig U,2020,2026.84,10.3390/nu12041082,"Gut Microbiome, Intestinal Permeability, and Tissue Bacteria in Metabolic Disease: Perpetrators or Bystanders?","Chakaroun, Rima M.;Massier, Lucas;Kovacs, Peter",FALSE,MDPI AG,Nutrients,2072-6643,,2072-6643,2072-6643,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32295104,PMC7230435,ut:000531831300202,https://www.mdpi.com/2072-6643/12/4/1082/pdf,TRUE
Leipzig U,2020,1885.98,10.3389/fphys.2020.595819,PCSK9 Inhibition: Insights From Clinical Trials and Future Prospects,"Katzmann, Julius L.;Gouni-Berthold, Ioanna;Laufs, Ulrich",FALSE,Frontiers Media SA,Frontiers in Physiology,1664-042X,,1664-042X,1664-042X,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33304274,PMC7701092,ut:000593914900001,https://www.frontiersin.org/articles/10.3389/fphys.2020.595819/full,TRUE
Leipzig U,2020,1679.55,10.1371/journal.pone.0232825,Preliminary study: Health and performance assessment in broiler chicks following application of six different hatching egg disinfection protocols,"Tebrün, Wiebke;Motola, Gerzon;Hafez, Mohamed Hafez;Bachmeier, Josef;Schmidt, Volker;Renfert, Kevin;Reichelt, Christian;Brüggemann-Schwarze, Sarah;Pees, Michael",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32407391,PMC7224537,ut:000537490700039,https://dx.plos.org/10.1371/journal.pone.0232825,TRUE
Leipzig U,2020,1741.68,10.1371/journal.pone.0231027,Quantitative assessment of interim PET in Hodgkin lymphoma: An evaluation of the qPET method in adult patients in the RAPID trial,"Georgi, Thomas W.;Kurch, Lars;Hasenclever, Dirk;Warbey, Victoria S.;Pike, Lucy;Radford, John;Sabri, Osama;Kluge, Regine;Barrington, Sally F.",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32240248,PMC7117720,ut:000535945000082,https://dx.plos.org/10.1371/journal.pone.0231027,TRUE
Leipzig U,2020,1555.7,10.1371/journal.pone.0233152,Examination of ex-vivo viability of human adipose tissue slice culture,"Schopow, Nikolas;Kallendrusch, Sonja;Gong, Siming;Rapp, Felicitas;Körfer, Justus;Gericke, Martin;Spindler, Nick;Josten, Christoph;Langer, Stefan;Bechmann, Ingo",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32453755,PMC7250419,ut:000537529500015,https://dx.plos.org/10.1371/journal.pone.0233152,TRUE
Leipzig U,2020,1942.08,10.1186/s13031-020-00291-z,"Factors predicting symptoms of somatization, depression, anxiety, post-traumatic stress disorder, self-rated mental and physical health among recently arrived refugees in Germany","Nesterko, Yuriy;Jäckle, David;Friedrich, Michael;Holzapfel, Laura;Glaesmer, Heide",FALSE,Springer Nature,Conflict and Health,1752-1505,,1752-1505,1752-1505,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32670398,PMC7346670,ut:000551869000001,https://link.springer.com/content/pdf/10.1186/s13031-020-00291-z.pdf,TRUE
Leipzig U,2020,1795.28,10.3390/ijms21072428,Activation of AMPK under Hypoxia: Many Roads Leading to Rome,"Dengler, Franziska",FALSE,MDPI AG,International Journal of Molecular Sciences,1422-0067,,1422-0067,1422-0067,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32244507,PMC7177550,ut:000535574200170,https://www.mdpi.com/1422-0067/21/7/2428/pdf,TRUE
Leipzig U,2020,1741.68,10.1371/journal.pone.0230015,Changes in the faecal microbiota of horses and ponies during a two-year body weight gain programme,"Langner, Katharina;Blaue, Dominique;Schedlbauer, Carola;Starzonek, Janine;Julliand, Veronique;Vervuert, Ingrid",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32191712,PMC7082044,ut:000535302300023,https://dx.plos.org/10.1371/journal.pone.0230015,TRUE
Leipzig U,2020,1982.6,10.3390/nu12061619,Circulating and Adipose Tissue Fatty Acid Composition in Black South African Women with Obesity: A Cross-Sectional Study,"Nono Nankam, Pamela A.;van Jaarsveld, Paul J.;Chorell, Elin;Fortuin-de Smidt, Melony C.;Adams, Kevin;Blüher, Matthias;Olsson, Tommy;Mendham, Amy E.;Goedecke, Julia H.",FALSE,MDPI AG,Nutrients,2072-6643,,2072-6643,2072-6643,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32486525,PMC7352715,ut:000549355800001,https://www.mdpi.com/2072-6643/12/6/1619/pdf,TRUE
Leipzig U,2020,373.97,10.1177/2158244020936223,Sensitive Questions and Trust: Explaining Respondents’ Behavior in Randomized Response Surveys,"Krumpal, Ivar;Voss, Thomas",FALSE,SAGE Publications,SAGE Open,2158-2440,2158-2440,2158-2440,2158-2440,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,NA,NA,ut:000553840000001,http://journals.sagepub.com/doi/pdf/10.1177/2158244020936223,TRUE
Leipzig U,2020,1623.24,10.3390/metabo10040149,"Relation of Whole Blood Amino Acid and Acylcarnitine Metabolome to Age, Sex, BMI, Puberty, and Metabolic Markers in Children and Adolescents","Hirschel, Josephin;Vogel, Mandy;Baber, Ronny;Garten, Antje;Beuchel, Carl;Dietz, Yvonne;Dittrich, Julia;Körner, Antje;Kiess, Wieland;Ceglarek, Uta",FALSE,MDPI AG,Metabolites,2218-1989,,2218-1989,2218-1989,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32290284,PMC7240971,ut:000533907300002,https://www.mdpi.com/2218-1989/10/4/149/pdf,TRUE
Leipzig U,2020,2397.22,10.1063/1.5141041,Solubility limit and material properties of a κ-(Al<sub><i>x</i></sub>Ga1−x)<sub>2</sub>O<sub>3</sub> thin film with a lateral cation gradient on (00.1)Al<sub>2</sub>O<sub>3</sub> by tin-assisted PLD,"Hassa, A.;Sturm, C.;Kneiß, M.;Splith, D.;von Wenckstern, H.;Schultz, T.;Koch, N.;Lorenz, M.;Grundmann, M.",FALSE,AIP Publishing,APL Materials,2166-532X,,2166-532X,2166-532X,na,TRUE,NA,NA,ut:000518619000003,http://aip.scitation.org/doi/pdf/10.1063/1.5141041,TRUE
Leipzig U,2020,2663.36,10.2147/jaa.s287315,Got a Pen for Allergen Immunotherapy? Lessons from Near-Fatal Anaphylaxis with Pulmonary Edema,"Prenzel, Freerk;Nissler, Karl;Siekmeyer, Manuela;vom Hove, Maike;Schleicher, Gudrun;Kiess, Wieland;Lipek, Tobias",FALSE,Informa UK Limited,Journal of Asthma and Allergy,1178-6965,,1178-6965,1178-6965,http://creativecommons.org/licenses/cc-by-nc/3.0/,TRUE,33408488,PMC7781355,NA,https://www.dovepress.com/getfile.php?fileID=65260,TRUE
Leipzig U,2020,2007.91,10.3389/fnbeh.2020.00056,A Novel Thermal-Visual Place Learning Paradigm for Honeybees (Apis mellifera),"Scheiner, Ricarda;Frantzmann, Felix;Jäger, Maria;Mitesser, Oliver;Helfrich-Förster, Charlotte;Pauls, Dennis",FALSE,Frontiers Media SA,Frontiers in Behavioral Neuroscience,1662-5153,,1662-5153,1662-5153,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32351370,PMC7174502,ut:000530493400001,https://www.frontiersin.org/article/10.3389/fnbeh.2020.00056/full,TRUE
Leipzig U,2020,1741.13,10.3390/pharmaceutics12111037,A Versatile Macromer-Based Glycosaminoglycan (sHA3) Decorated Biomaterial for Pro-Osteogenic Scavenging of Wnt Antagonists,"Gronbach, Mathis;Mitrach, Franziska;Möller, Stephanie;Rother, Sandra;Friebe, Sabrina;Mayr, Stefan G.;Schnabelrauch, Matthias;Hintze, Vera;Hacker, Michael C.;Schulz-Siegmund, Michaela",FALSE,MDPI AG,Pharmaceutics,1999-4923,,1999-4923,1999-4923,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33138172,PMC7693161,ut:000594868600001,https://www.mdpi.com/1999-4923/12/11/1037/pdf,TRUE
Leipzig U,2020,1934.59,10.3390/molecules25215015,Chemical Profile and Antimicrobial Activity of the Fungus-Growing Termite Strain Macrotermes Bellicosus Used in Traditional Medicine in the Republic of Benin,"Hammoud Mahdi, Dima;Hubert, Jane;Renault, Jean-Hugues;Martinez, Agathe;Schubert, Andreas;Engel, Kathrin Monika;Koudogbo, Blaise;Vissiennon, Zacharie;Ahyi, Virgile;Nieber, Karen;Vissiennon, Cica",FALSE,MDPI AG,Molecules,1420-3049,,1420-3049,1420-3049,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33138110,PMC7662623,ut:000589257600001,https://www.mdpi.com/1420-3049/25/21/5015/pdf,TRUE
Leipzig U,2020,1649.47,10.3390/jcm9020513,Comprehensive Assessment of Orofacial Health and Disease Related Parameters in Adolescents with Juvenile Idiopathic Arthritis—A Cross-Sectional Study,"Merle, Cordula Leonie;Hoffmann, Robin;Schmickler, Jan;Rühlmann, Michael;Challakh, Nadia;Haak, Rainer;Schmalz, Gerhard;Ziebolz, Dirk",FALSE,MDPI AG,Journal of Clinical Medicine,2077-0383,,2077-0383,2077-0383,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32069957,PMC7074230,ut:000518823000225,https://www.mdpi.com/2077-0383/9/2/513/pdf,TRUE
Leipzig U,2020,1720.11,10.1371/journal.pone.0230291,Reference curves for refraction in a German cohort of healthy children and adolescents,"Truckenbrod, Carolin;Meigen, Christof;Brandt, Manuela;Vogel, Mandy;Wahl, Siegfried;Jurkutat, Anne;Kiess, Wieland",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32160245,PMC7065770,ut:000535284700078,https://dx.plos.org/10.1371/journal.pone.0230291,TRUE
Leipzig U,2020,1547.67,10.3390/antiox9111169,Profiling of Low-Molecular-Weight Carbonyls and Protein Modifications in Flavored Milk,"Wölk, Michele;Schröter, Theres;Hoffmann, Ralf;Milkovska-Stamenova, Sanja",FALSE,MDPI AG,Antioxidants,2076-3921,,2076-3921,2076-3921,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33238606,PMC7700654,ut:000593596600001,https://www.mdpi.com/2076-3921/9/11/1169/pdf,TRUE
Leipzig U,2020,1943.41,10.3390/ijms21176249,Proliferation and Cluster Analysis of Neurons and Glial Cell Organization on Nanocolumnar TiN Substrates,"Abend, Alice;Steele, Chelsie;Schmidt, Sabine;Frank, Ronny;Jahnke, Heinz-Georg;Zink, Mareike",FALSE,MDPI AG,International Journal of Molecular Sciences,1422-0067,,1422-0067,1422-0067,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32872379,PMC7503702,ut:000570349000001,https://www.mdpi.com/1422-0067/21/17/6249/pdf,TRUE
